English,Arabic,Dialect
anyway/anyhow,ealaa 'ayi hal / ealaa 'ayi hal,Fushaa
idea,fikra,Fushaa
dress,fustan,Fushaa
above,fi alaealaa,Fushaa
up/ up stairs/ above,fawq / fawq aldaraj / fawq,Fushaa
immediately,fi alhal,Fushaa
change (pocket change..coins),taghyir (taghyir aljib .. eumlat maediniatun),Fushaa
French man/woman,rajul faransiun / amra'a,Fushaa
waiter/boy,nadil / wulid,Fushaa
cake,kik,Fushaa
chocolate cake,kaekat alshuwkulata,Fushaa
carrort cake,kaekat karurt,Fushaa
apple cake,kaekat altufaah,Fushaa
until…,hataa...,Fushaa
darling,habibi,Fushaa
goal,hadaf,Fushaa
easy,sahl,Fushaa
now,haliana,Fushaa
rights,huquq,Fushaa
here,huna,Fushaa
there (over there),hunak (hunaka),Fushaa
nieghbor,nighbur,Fushaa
group,majmuea,Fushaa
audience,jumhur,Fushaa
beautiful,jamila,Fushaa
garden,hadiqa,Fushaa
jacket,alsutra,Fushaa
newspaper,jarida,Fushaa
an answer,'iijaba,Fushaa
carrot,jazra,Fushaa
mountains,aljibal,Fushaa
cheese,jubnuh,Fushaa
grandpa,aljadu,Fushaa
new,aljadid,Fushaa
jedou,jidu,Fushaa
leather,jalad,Fushaa
sentence,jumlat aw hukim ealaa,Fushaa
south,janub,Fushaa
bridge,kubri,Fushaa
part,juz',Fushaa
get,aihsul ealaa,Fushaa
skirt,tanuwra,Fushaa
coat,mietaf,Fushaa
complete,muktamil,Fushaa
writer,katib,Fushaa
author,mualif,Fushaa
dog,kalb,Fushaa
how many?/how much?,kam aleadad kam alkamayhi?,Fushaa
also,ayidan,Fushaa
as well,kadhalik,Fushaa
too/also,'aydan / 'aydan,Fushaa
furthermore..,eilawatan ealaa dhalika..,Fushaa
kind/generous,tyib / karim,Fushaa
cruise,rihlat bahria,Fushaa
big,kabir,Fushaa
large,kabir,Fushaa
everytime,kulu marih,Fushaa
everything,kulu shaa',Fushaa
all/everybody,alkulu / aljamie,Fushaa
word,kalima,Fushaa
all of us together!,kuluna maea!,Fushaa
chair,kursiun,Fushaa
lie,yakdhib,Fushaa
lie (white),kidhba (bayda'a),Fushaa
lie (black),kidhib ('asudu),Fushaa
cup,finjan,Fushaa
how/how come?,kayf / kayf yahduth dhalika?,Fushaa
how?,kayf?,Fushaa
every now and then,bayn alfaynat wal'ukhraa,Fushaa
book,alkitab,Fushaa
many/a lot,kathir / kathir,Fushaa
much,kathir,Fushaa
often,ghalbaan,Fushaa
very,jdaan,Fushaa
for,'iilaa ean ealaa,Fushaa
why?/for what?,limadha? / limadha?,Fushaa
to/for,ll,Fushaa
No!,raqm!,Fushaa
mean person,layiym alshakhs,Fushaa
meet me at the..,qabalani fi ..,Fushaa
by him/her self,min janibih / binafsiha,Fushaa
butcher,qisab,Fushaa
meat,lahm,Fushaa
moment,lahza,Fushaa
moment (one),lahza (wahidatun),Fushaa
should/what should be,yajib / madha yajib 'an yakun,Fushaa
why?,limadha a?,Fushaa
look(here)/listen up!,anzur (hna) / astame!,Fushaa
night,layl,Fushaa
(a) night,('a) allayl,Fushaa
once/whenever,maratan wahidatan / fi 'ayi waqt,Fushaa
alone,wahdah,Fushaa
color,allawn,Fushaa
The Country (Lebanon),albalad (libnan),Fushaa
Lebanese  man/woman,rajul lubnaniun / aimra'a,Fushaa
sadly,lil'asaf,Fushaa
Both/the two,kilahuma / aliaithnan,Fushaa
so/that’s why,lidhalik / lihadha alsabab,Fushaa
no one,la ahid,Fushaa
They do not say…(It's wrong to say),la yaqulun ... (man alkhata alqawla),Fushaa
there is no…,la yujadu...,Fushaa
no way!,mustahila!,Fushaa
nothing,wala shay',Fushaa
with,mae,Fushaa
meaning,almaenaa,Fushaa
exit,khuruj,Fushaa
station/chanel,mahatat / shanil,Fushaa
water,ma',Fushaa
worn out,mutahak,Fushaa
entrance,madkhal,Fushaa
opened,aiftutih,Fushaa
dead,fi dhimat allah taealaa,Fushaa
side,janib,Fushaa
magazine,majala,Fushaa
famous,mashhur,Fushaa
office,maktab,Fushaa
library,maktaba,Fushaa
letter,risala,Fushaa
spoon,mileaqa,Fushaa
mom,'umiy,Fushaa
mother,'um,Fushaa
nose,al'anf,Fushaa
area,mintiqa,Fushaa
region,mintiqa,Fushaa
view/sight,eard / albasar,Fushaa
nice sight,mashhad jamil,Fushaa
hello,'ahlan,Fushaa
period/interval,alfatrat / alfasil alzamaniu,Fushaa
ill,sawf,Fushaa
woman,alnisa',Fushaa
evening,akhir alnahar,Fushaa
money,mal,Fushaa
busy,mashghul,Fushaa
towel,munshafa,Fushaa
restaurant,mateam,Fushaa
restaurant,mateam,Fushaa
museum,muthaf,Fushaa
airport,matar,Fushaa
example,mithal,Fushaa
role model,qudwa,Fushaa
for example,famathalan,Fushaa
kitchen,matbakh,Fushaa
appointment,maweid,Fushaa
TV/(petrol) station,mahatat tilifizyun / (binzin),Fushaa
city,madina,Fushaa
key,miftah,Fushaa
polite,muadib,Fushaa
full/full of,mumtali / mumtali bi,Fushaa
from,man,Fushaa
since,hayth,Fushaa
through/via,min khilal / eabr,Fushaa
clear (its clear),wadih (wadihi),Fushaa
from a while,mundh hin,Fushaa
from a while,mundh hin,Fushaa
angry,ghadib,Fushaa
angry from me,ghadib miniy,Fushaa
good,jyid,Fushaa
nice/good,"jid, hasan",Fushaa
well,nahn sawf,Fushaa
mirror,mura,Fushaa
thank you,shukran lak,Fushaa
thank you very much,shukran jazilan lak,Fushaa
closed,mughlaq,Fushaa
not,lays,Fushaa
I don't mean that,la 'aqsid dhalik,Fushaa
familiar,maeruf,Fushaa
not your business,lays min shanik,Fushaa
problem,mushkila,Fushaa
crisis/problem,'azmat / mushkila,Fushaa
when,mataa,Fushaa
late,muta'akhir,Fushaa
a while/era,fatrat / easr,Fushaa
whoever..,'ayana kan ..,Fushaa
who?,munazamat alsihat alealamiati?,Fushaa
hospital,mustashfaa,Fushaa
just like you (in this),mithluk tmaman (fi hadha),Fushaa
drugs,almukhadirat,Fushaa
shut,aghlaq,Fushaa
teacher,muealim,Fushaa
carpet,sajada,Fushaa
engine,muharik,Fushaa
(a)plan,(khuta,Fushaa
boss/director/manager,rayiys / mudir / mudir,Fushaa
manager,'iidara,Fushaa
citizen,muatin,Fushaa
occasion,munasabat,Fushaa
music,musiqaa,Fushaa
yes/ya,naeam / naeam,Fushaa
evil,shar,Fushaa
fat man/women,rajul samin / amra'a,Fushaa
soft,lyn,Fushaa
dry,jaf,Fushaa
(a) wait,('a) antazir,Fushaa
because,lan,Fushaa
argument,jidal,Fushaa
end,nihaya,Fushaa
order (law),'amr (qanuni),Fushaa
half,nisf,Fushaa
orange,alburtuqaliu,Fushaa
pants,bintal,Fushaa
trousers,bantalun,Fushaa
excuse me,eafwan,Fushaa
wig,shier mustaear,Fushaa
pool,hamaam sibaha,Fushaa
please,min fadlik,Fushaa
number,raqm,Fushaa
cheap (product),rakhis (almuntaji),Fushaa
pleasure,bikuli surur,Fushaa
head,ras,Fushaa
potato,albatatis,Fushaa
drawing,rasim,Fushaa
thin,nahif,Fushaa
cheap price,sier rakhis,Fushaa
journey,rihla,Fushaa
quarter of an hour,rubue saea,Fushaa
reaction,tafaeul,Fushaa
friends,'asdiqa',Fushaa
friend,sadiq,Fushaa
man,rajul,Fushaa
friends,'asdiqa',Fushaa
message,risala,Fushaa
note,mulahaza,Fushaa
sport,riada,Fushaa
sporty,riadi,Fushaa
go,yadhhab,Fushaa
Russian man/woman,rajul / amra'at rusia,Fushaa
ask (he/she),ais'al (hu / hi),Fushaa
ceiling,alsaqf,Fushaa
roof,saqf,Fushaa
piece,qitea,Fushaa
correct,sahih,Fushaa
right (that's),sahih (hdha),Fushaa
true/correct,sahih / sahih,Fushaa
plate,lawha,Fushaa
small,saghir,Fushaa
Good morning,sabah alkhayr,Fushaa
boy,sabiun,Fushaa
clock,saeat hayit,Fushaa
clock/watch,saeat / saea,Fushaa
hour,saea,Fushaa
watch,raqib,Fushaa
classroom,qaeat aldirasa,Fushaa
queue,tabur,Fushaa
school class/queue,fiat almadrasat / qayimat aliantizar,Fushaa
travel/a trip,safar / rihla,Fushaa
staying up late,alsahar,Fushaa
flat land,'ard mustawia,Fushaa
late night party/outing,haflat / nuzhat fi waqt muta'akhir min allayl,Fushaa
bad,sayiy,Fushaa
traffic,harakat almurur,Fushaa
tree,shajara,Fushaa
salad,sulta,Fushaa
fish,samak,Fushaa
fast,sarie,Fushaa
quick,sarie,Fushaa
quickly,bisurea,Fushaa
together,meaan,Fushaa
suger,suger,Fushaa
knife,sikiyn,Fushaa
thick,samik,Fushaa
north,shamal,Fushaa
year,eam,Fushaa
thief,ls,Fushaa
hair,shaer,Fushaa
person,shakhs,Fushaa
boat,qarib,Fushaa
ship,safina,Fushaa
tea,shay,Fushaa
tea,shay,Fushaa
teen,fi sini almurahaqa,Fushaa
teen,fi sini almurahaqa,Fushaa
teens,murahiqun,Fushaa
street,sharie,Fushaa
month,shahr,Fushaa
complaint,shakwaa,Fushaa
umbrella,mizala,Fushaa
back pack,hizmat alzuhr,Fushaa
suitcase,haqibat safar,Fushaa
east,alsharq,Fushaa
company,sharika,Fushaa
fork,shawka,Fushaa
business,aemal,Fushaa
job,mihna,Fushaa
work,alshughl,Fushaa
window,nafidhat aw shibak,Fushaa
straw,qush,Fushaa
rain,matar,Fushaa
something,shayyan ma,Fushaa
window,nafidhat aw shibak,Fushaa
"you see, how it is?",turaa kayf hu?,Fushaa
left,alyasar,Fushaa
a bit,baed alshay',Fushaa
how do you know?,kayf ealimt bidhalika?,Fushaa
how do I know?,kayf 'aerifu?,Fushaa
what is there?/Whats up?,ma hu hunaka? / ma al'amra?,Fushaa
of course,bialtabe,Fushaa
how polite…,kam hi muhadhaba ...,Fushaa
How fat he/she is!!,kam hu samin !!,Fushaa
What does..mean?,madha yaeni?,Fushaa
what?,madha?,Fushaa
a bit/just a little,qalilan / qalilan faqat,Fushaa
bit (a bit),bitu (qlila),Fushaa
(a) little,(alqalil,Fushaa
shoe,hidha',Fushaa
car,jamal,Fushaa
cigarette,sijara,Fushaa
miss,yaghib,Fushaa
pieces,qitae,Fushaa
difficult,saeba,Fushaa
healthy,sihiy,Fushaa
sorry!,asfu!,Fushaa
market,suq,Fushaa
store,matjar,Fushaa
vegie market,suq alkhudar,Fushaa
sounds,asawat,Fushaa
sounds of kids,'aswat alaitfal,Fushaa
photo,surat futughrafia,Fushaa
photo of…,suratu...,Fushaa
sound,yabdu,Fushaa
special,khasun,Fushaa
heavy,thaqil,Fushaa
luxurious,fakhir,Fushaa
almost,taqribiana,Fushaa
approximatly,bishakl taqribiin,Fushaa
tired,marhaq,Fushaa
taste,almadhaq,Fushaa
taste,almadhaq,Fushaa
bed,sarir,Fushaa
below,'aqalu,Fushaa
down/ down stairs/ below,'asfal / 'asfal aldaraj / 'adnaah,Fushaa
natural/normal,tabieiun / eadi,Fushaa
normal,eadi,Fushaa
usual,muetad,Fushaa
grandma,jadati,Fushaa
fresh,tazij,Fushaa
take,yakhudh,Fushaa
Fine!,bikhayrin!,Fushaa
tasty,tayib almadhaq,Fushaa
taxi,sayaarat ajirih,Fushaa
pot,wiea'an,Fushaa
aunt,eama,Fushaa
road,tariq,Fushaa
way,tariq,Fushaa
way back,tariq aleawda,Fushaa
history,altaarikh,Fushaa
long,tawil,Fushaa
table,altaawila,Fushaa
perhaps,rubama,Fushaa
apple,tufaah,Fushaa
clothes,malabis,Fushaa
experience,khibra,Fushaa
students,altulaab,Fushaa
telephone,hatif,Fushaa
Italian man/woman,rajul 'iitaliun / amra'a,Fushaa
student,talib ealm,Fushaa
(a) walk,(mshi,Fushaa
breakfast,wajbat aftar,Fushaa
repair,yuslih,Fushaa
ticket,tadhkura,Fushaa
airplane,matar,Fushaa
trade,tijara,Fushaa
two,aithnayn,Fushaa
bathroom,dawruh almiah,Fushaa
baby,tifl,Fushaa
train,qitar,Fushaa
vacation,eutla,Fushaa
van,sayaarat naql,Fushaa
stick (automobile),easan (sayaaratun),Fushaa
I promised you,ana waeadtuk,Fushaa
You promised me,laqad waeadtni,Fushaa
and,w,Fushaa
at that time,faa dhalik altawqit,Fushaa
at that time,faa dhalik altawqit,Fushaa
back then,fi dhalik alwaqt,Fushaa
promise,yueadu,Fushaa
awake,mustayqiz,Fushaa
clear,safi,Fushaa
awake,mustayqiz,Fushaa
wide,wasie,Fushaa
"where is the bathroom, please?",ayin hu alhamam law samahtu?,Fushaa
where?,'ayn?,Fushaa
pain,alm,Fushaa
headache,sudae alraas,Fushaa
sore throat,'iltihab alhalq,Fushaa
child,tifl,Fushaa
but/however,lakin / wamae dhalik,Fushaa
however,wamae dhalik,Fushaa
papers,'awraq,Fushaa
paper/contract,waraqat / euqd,Fushaa
behind,khalf,Fushaa
flower,zahra,Fushaa
prescription,wasfat tibiya,Fushaa
prescription from the doctor,wasfat tibiyat min altabib,Fushaa
nation,al'uma,Fushaa
face,wajah,Fushaa
kids,'atfal,Fushaa
arrived (he/she),wasal (hu / hi),Fushaa
So what!,wamadha fi dhalika!,Fushaa
And if…,w 'iidha...,Fushaa
pity!,shafaqatun!,Fushaa
how terrible!,yalllfzaeuhu!,Fushaa
Eat Up! M/F/Group,'ukla! m / w / almajmuea,Fushaa
right,haqana,Fushaa
to furnish,litathith,Fushaa
oh no,'awh la,Fushaa
day,yawm,Fushaa
traffic conjestion,aihtiqan almurur,Fushaa
corner,rukn,Fushaa
bordom,burdum,Fushaa
bored (im bored),'asheur bialmalal,Fushaa
oil,naft,Fushaa
knowlegde,maerifa,Fushaa
remind me,dhakarani,Fushaa
clever,mahir,Fushaa
smart,dhakiun,Fushaa
throat,hulqum,Fushaa
era,hiqba,Fushaa
marriage,zawaj,Fushaa
husband,alzawj,Fushaa
pair,zawj,Fushaa
butter,zubada,Fushaa
same thing,nafs alshay',Fushaa
a visit,ziara,Fushaa
(a)visit,(ziara,Fushaa
is sitting/doing,2a3d/2a3di,Lebanese
firm,2aasi/2aasyi,Lebanese
tough,2aasi/2aasyi,Lebanese
coffee,2ahoui,Lebanese
moon,2amar,Lebanese
law,2anoun,Lebanese
family,2araaiib,Lebanese
relitives,2araaiib,Lebanese
close,2ariib/2ariibi,Lebanese
shortly (time),2ariiban,Lebanese
soon/close,2ariiban,Lebanese
short,2asiir/2asiiri,Lebanese
strong,2awi,Lebanese
is doing,2e3ed/2e3edi 3am,Lebanese
news,2e5baar,Lebanese
in front (of),2edaem,Lebanese
what time is it?,2edaiish esae3a?,Lebanese
leg,2ejer,Lebanese
loaf,2er8iif,Lebanese
glass,2ezaez,Lebanese
arm,2iid,Lebanese
hand,2iid,Lebanese
right hand,2iid elyamiin,Lebanese
left hand,2iid eshmael,Lebanese
sister,2o5t,Lebanese
power,2oui,Lebanese
close(ness),2ourb,Lebanese
Don't you ever../Watch out (for),2u3a,Lebanese
on/at  (but can have many other meanings),3a,Lebanese
amount,3adad,Lebanese
big amount,3adad kbiir,Lebanese
small amount,3adad sa8iir,Lebanese
Its ok/not bad/normal,3adi,Lebanese
ordinary,3adi,Lebanese
at 2,3aetnain,Lebanese
eye,3aiin,Lebanese
at least,3al2a2el,Lebanese
at least,3al2aliili,Lebanese
relationship,3alae2a,Lebanese
at 1,3alwe7di,Lebanese
I'm dying from the..,3am mout men el/e..,Lebanese
uncle,3am(dad's side)/5aal(mom's side),Lebanese
about,3an,Lebanese
on purpose,3an2ased,Lebanese
(an) offer,3ared,Lebanese
straight,3asawa,Lebanese
dinner,3asha,Lebanese
on your left,3ashmaelak/3ashmaelik,Lebanese
in the morning,3asobo7,Lebanese
out of order,3atel/3ateli,Lebanese
dark (light wise),3atem,Lebanese
at 8,3atemaeni,Lebanese
always,3atoul,Lebanese
glasses,3awainaet,Lebanese
on your right,3ayamiinak/3ayamiinik,Lebanese
on a visit,3aziaara,Lebanese
box,3elbi,Lebanese
package,3elbi,Lebanese
You have?,3endak/3endik?,Lebanese
address,3enwaen,Lebanese
title,3enwaen,Lebanese
wedding,3ers,Lebanese
life(time),3omar,Lebanese
brother,5ai,Lebanese
enough,5alas,Lebanese
that’s it/that’s enough/stop!,5alas,Lebanese
stay,5aliik/5aliilki,Lebanese
lets meet..,5allina nelta2a..,Lebanese
map,5arta,Lebanese
lettuce,5as,Lebanese
wood,5ashab,Lebanese
dangerous,5atiir,Lebanese
mr.-mister,5awaeja/monsieur (french),Lebanese
baker,5ebaez,Lebanese
bread,5ebez,Lebanese
service,5edmi,Lebanese
old man/woman,5etiaar/5etiaara,Lebanese
